










conky\tCPU 2%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 2%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 0%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 2%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 0%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 4%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 2%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 3%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 18%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 37%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 27%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 8%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 11%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 20%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 18%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 13%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 9%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 6%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 5%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 6%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 2%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 7%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:28
conky\tCPU 5%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 7%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 4%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 5%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 10%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 7%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 5%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 2%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 5%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 6%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 19%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 42%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 49%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 35%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 17%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 9%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 8%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 7%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 6%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 9%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 6%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 3%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 6%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 5%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 6%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 5%  RAM 7% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
conky\tCPU 5%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 2%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 6%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 5%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 2%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 0%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 0%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 2%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 0%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 2%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:29
CPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:30
CPU 0%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:30
CPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:30
CPU 2%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:30
CPU 3%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:30
CPU 1%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:30
CPU 3%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:30
CPU 5%  RAM 6% | TEMP CPU 41 | /SYSTEM 5.36GiB/22.5GiB /HOME 2.11GiB/72.8GiB | ethernet DOWN 0B   UP 0B   | Tuesday, 17 April,  1:30
